# CLEANING AUDIT — mortgage max-loan project
# raw_rows=49990  kept_rows=49990  removed_rows=0  reconciles=True
#
# --- Integrity checks ---
step,check,rows_flagged,action
C1,Duplicate rows,0,kept
C2,Any null value in row,0,kept
C3,Age <= 0,0,kept
C3,Annual Income (USD) <= 0,0,kept
C3,Down Payment (USD) <= 0,0,kept
C3,Credit Score <= 0,0,kept
C3,Max Loan Amount (USD) <= 0,0,kept
C4,Employment Years < 0,0,kept
C4,Existing Monthly Debt (USD) < 0,0,kept
C4,Loans Repaid < 0,0,kept
C5,Credit Score outside 300-850,0,kept
C6,Down Payment > Max Loan Amount,0,kept
C7,Annualised existing debt > Annual income,0,kept
C8,Gender has leading/trailing whitespace,0,kept
C8,Married has leading/trailing whitespace,0,kept
C8,Education has leading/trailing whitespace,0,kept
C8,Job has leading/trailing whitespace,0,kept
C8,Area has leading/trailing whitespace,0,kept
C9,"Employment Years > Age-16 (implied start age < 16) — KEPT, FLAGGED",41,kept
#
# --- Flagged rows kept (step C9) ---
row_index,Gender,Age,Married,Education,Job,Employment Years,Annual Income (USD),Interest Rate,Down Payment (USD),Credit Score,Existing Monthly Debt (USD),Area,Loans Repaid,Max Loan Amount (USD),implied_start_age,audit_step,audit_reason
1026,Female,51,Yes,Bachelor's,Retired,36,115024.37,0.06,83783.76,706,2177.16,Urban,3,407260.21,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
2600,Female,53,No,Master's,Engineer,38,106709.14,0.04,26390.36,763,1356.77,Urban,2,604456.48,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
3877,Female,48,Yes,Master's,Freelancer,33,89429.55,0.04,25818.06,779,1315.89,Urban,5,487304.39,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
6256,Female,43,No,High School,Retired,28,55256.0,0.07,50552.76,708,1213.64,Urban,5,177993.92,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
7573,Female,59,Yes,PhD,Nurse,44,69801.79,0.04,55174.19,799,1287.7,Rural,10,388002.11,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
7930,Female,29,No,Bachelor's,Accountant,14,58098.32,0.05,7209.82,777,1127.02,Urban,5,246847.64,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
10294,Female,51,No,Master's,Banker,36,158159.81,0.06,82703.06,729,1498.54,Urban,7,754440.2,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
12618,Female,30,Yes,PhD,Engineer,15,146954.35,0.06,119362.98,753,1920.48,Suburban,2,780406.51,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
12730,Male,63,Yes,PhD,Lawyer,48,221983.24,0.06,20324.53,727,1483.4,Suburban,3,1124136.86,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
14058,Female,34,Yes,PhD,Sales Manager,19,125198.81,0.06,39455.09,725,1586.24,Suburban,3,530746.95,15,C9,Employment Years exceeds (Age - 16); implied start age 15. Cosmetic synthetic-data artifact (off by 1-2 yrs). Kept by decision.
